CLDR,epd - Meaning,epd - Note,epd - Unicode,epd - Additional informations
baguette-bread,"The long, thin loaf of a baguette, with scoring on its golden-brown crust. A bread commonly associated with France. May also be used to denote financial success, as per the slang term ""let's get this bread"".",,Baguette Bread was approved as part of Unicode 9.0 in 2016 and added to Emoji 3.0 in 2016.,
balance-scale,"A balance scale, as historically used to measure weight. A symbol of justice, as held by Lady Justice, and of the zodiac sign of Libra, the Scales. Depicted as two silver or gold pans suspended from a beam and supported on a base. Commonly used for various content concerning law and justice as well as various senses of balance and weight. Samsung’s design previously featured a stylized, white balance scale on a green square, as an icon or symbol of legal matters or institutions.",,Balance Scale was approved as part of Unicode 4.1 in 2005 under the name “Scales” and added to Emoji 1.0 in 2015.,
bald,,,Bald was approved as part of Unicode 11.0 in 2018 under the name “Emoji Component Bald” and added to Emoji 11.0 in 2018.,
ballet-shoes,"Shoes worn by ballet dancers for pointe work. Most platforms show a pair of pink shoes resting on their pointes. Sometimes used to represent dancing in general, rather than ballet specifically. Sometimes also used to represent the color pink.",,Ballet Shoes was approved as part of Unicode 12.0 in 2019 and added to Emoji 12.0 in 2019.,
balloon,"A balloon on a string, as decorates a birthday party. Generally depicted in red, though WhatsApp’s is pink and Google’s orangish-red. Commonly used to convey congratulations and celebration, especially when wishing someone a happy birthday. Microsoft and Samsung's balloons were previously blue; SoftBank's was shown floating in the sky.",,Balloon was approved as part of Unicode 6.0 in 2010 and added to Emoji 1.0 in 2015.,
ballot-box-with-ballot,"A ballot box, as used to cast votes in an election. Depicted as a box, generally blue or gray, with a slot on top through which a paper ballot is being inserted. Many platforms display a cross mark or check mark on the ballot to indicate a vote, though Apple and Facebook leave theirs blank. Commonly used for various content concerning voting and elections, especially in politics and government.",,Ballot Box with Ballot was approved as part of Unicode 7.0 in 2014 and added to Emoji 1.0 in 2015.,
banana,"A ripe banana, peeled and ready to eat on major platforms. Great snack for a child or monkey.",,Banana was approved as part of Unicode 6.0 in 2010 and added to Emoji 1.0 in 2015.,
banjo,A banjo with a round body and a long neck. Used to talk about banjos or music in general.,,Banjo was approved as part of Unicode 12.0 in 2019 and added to Emoji 12.0 in 2019.,
bank,"A retail bank branch, where people can perform money-related tasks. Also a common location to find an ATM. This emoji came to also mean ""slacking off"" or evading responsibility in Japan, due to the BK letters being associated with the slang term bakkureru.",,Bank was approved as part of Unicode 6.0 in 2010 and added to Emoji 1.0 in 2015.,
bar-chart,"A bar graph generally showing three different-colored, vertical rectangles at various heights, as compares values across a category. Commonly used to represent various types of data, information, facts, figures, and charts more generally. Several platforms, including Apple, depict (left to right) a green, red (lowest), and blue bar (highest). Google’s design previously included four bars, with yellow being the highest.",,Bar Chart was approved as part of Unicode 6.0 in 2010 and added to Emoji 1.0 in 2015.,
barber-pole,"A pole spiraled with red, white, and blue stripes, as spins out front of a barbershop. Commonly used for various content concerning haircutting and hairstyling. May also be associated with brothels in parts of Asia.",,Barber Pole was approved as part of Unicode 6.0 in 2010 and added to Emoji 1.0 in 2015.,
baseball,"A white baseball, with regulation red stitching. Used in the game of the same name, baseball.",,Baseball was approved as part of Unicode 5.2 in 2009 and added to Emoji 1.0 in 2015.,
basket,"A basket, as used for storing or carrying such things as food or clothes. Appearance widely varies across platforms but generally depicted as woven from wicker with one or more handles. Commonly used to represent doing laundry or having a picnic. Apple and WhatsApp’s designs, featuring a white cloth, suggest a bread or picnic basket. Samsung’s design displays green fabric, as knitted from yarn. Microsoft’s design previously suggested a laundry basket by holding a blue garment or cloth. Not to be confused with 🗑️ Wastebasket.",,Basket was approved as part of Unicode 11.0 in 2018 and added to Emoji 11.0 in 2018.,
basketball,"An orange-colored basketball. Originally intended to display as a basketball and a hoop, as per previous designs by Google, Samsung, and Microsoft. This emoji can be sent on Facebook Messenger to unlock a hidden basketball game.",,Basketball was approved as part of Unicode 6.0 in 2010 under the name “Basketball and Hoop” and added to Emoji 1.0 in 2015.,
bat,"A bat, the flying mammal of the night. Variously depicted as a brown, black, or gray bat, with wings outspread and pointy ears, facing forward or left. Often used in association with Halloween, vampires, and Batman. Google’s bat was previously purplish in color, bearing two fangs. Samsung’s bat was previously brown, and Facebook’s gray.",,Bat was approved as part of Unicode 9.0 in 2016 and added to Emoji 3.0 in 2016.,
bathtub,"A white bathtub with a silver shower head. Often depicted as a cast-iron tub with claw-foot legs. Commonly used for various content concerning bathing, washing, cleaning, and bathrooms more generally. Several platforms, including Apple and Facebook, feature soap bubbles or suds. Samsung’s design displays streaming water from the shower head. Vendors implement 🛀 Person Taking a Bath with the same or a similar emoji, but with a person soaking in the tub.",,Bathtub was approved as part of Unicode 6.0 in 2010 and added to Emoji 1.0 in 2015.,
battery,"An electric battery, as used to power such devices as a flashlight. Generally depicted as an upright, green cylinder, as a AA or D cell, with white indicators for its positive (facing up) and negative terminals. Commonly used for various content concerning electricity, charging, energy, and power, especially in figurative senses. Its green color also suggests the icon for battery power on a cell/mobile phone. Apple’s design includes a voltage symbol; WhatsApp’s battery is blue.",,Battery was approved as part of Unicode 6.0 in 2010 and added to Emoji 1.0 in 2015.,
beach-with-umbrella,"A beach showing sand, and an umbrella for protection from the sun.",,Beach with Umbrella was approved as part of Unicode 7.0 in 2014 and added to Emoji 1.0 in 2015.,
beaming-face-with-smiling-eyes,"A yellow face with smiling eyes and full-toothed grin, as if saying Cheese! for the camera. Teeth may be smoothed-over or crosshatched. Often expresses a radiant, gratified happiness. Tone varies, including warm, silly, amused, or proud. Prior to 2017, Apple's design resembled its 😬 Grimacing Face.",,Beaming Face with Smiling Eyes was approved as part of Unicode 6.0 in 2010 under the name “Grinning Face with Smiling Eyes” and added to Emoji 1.0 in 2015.,🚩 Appearance historically differs greatly cross-platform. Use with caution. 🚨
beans,"Beans, as used in cuisines around the world.   May be used to talk about food, flatulence (caused by eating beans), or coffee beans. Also used to discuss money, counting, or a small amount of something.  May be used to refer to the head. Additionally may be used with phrases such as spill the beans, full of beans, or cool beans. ",,Beans was approved as part of Unicode 14.0 in 2021 and added to Emoji 14.0 in 2021.,🚩 Approved in September 2021 as part of Emoji 14.0. Now available across all major emoji platforms.
bear,"A friendly, cartoon-styled face of bear, looking straight ahead. Depicted as a brown bear with round ears and a tan muzzle. Resembles a teddy bear. Often used with an affectionate tone. Does not have a full-bodied bear emoji counterpart. Available as an Apple Animoji. Samsung’s bear was previously golden brown.",,Bear was approved as part of Unicode 6.0 in 2010 under the name “Bear Face” and added to Emoji 1.0 in 2015.,
beating-heart,"A heart with vibration/movement lines above it or around it, indicating it is beating. Displayed in pink or red on most platforms. An early version of this emoji on iOS had the same design as 💖 Sparkling Heart.",,Beating Heart was approved as part of Unicode 6.0 in 2010 and added to Emoji 1.0 in 2015.,
beaver,"A brown beaver with buckteeth and a wide paddle-like tail. Can be used in the context of actual beavers, or metaphorically to evoke qualities of beavers like working hard, as in the expression beavering away.  Commonly associated with Canada, as beavers are a national emblem of the country. May also be used in reference to the vagina, which is an informal sense of the word beaver.",,Beaver was approved as part of Unicode 13.0 in 2020 and added to Emoji 13.0 in 2020.,
bed,"A bed, made up for sleeping in a house, hotel, or other sleeping accommodation. Shown with a headboard at the left, footboard, mattress, pillow, and sheet. Most platforms suggest a wooden frame and feature blue or red sheets. Commonly used for various content concerning beds, furniture, and housing as well as sleeping, relaxing, and other bedroom activities. Vendors implement the same style of bed for 🛌 Person in Bed, but without a sleeper under the covers.",,Bed was approved as part of Unicode 7.0 in 2014 and added to Emoji 1.0 in 2015.,
beer-mug,"A beer, as a golden-colored lager, in a frosty mug. Depicted with a frothy head spilling over the brim. 🍻 Clinking Beer Mugs is a variation that displays two such beer mugs.",,Beer Mug was approved as part of Unicode 6.0 in 2010 and added to Emoji 1.0 in 2015.,
beetle,"A green or brown beetle shown with antennae and six legs. Can be used to talk about beetles, bugs, or insects in general. Not to be confused with 🐞 Lady Beetle, 🪳 Cockroach, 🐛 Bug, 🐜 Ant or other emoji representations of insects.",,Beetle was approved as part of Unicode 13.0 in 2020 and added to Emoji 13.0 in 2020.,
bell-pepper,A perfectly ripe red or green bell pepper. Can be used to talk about bell peppers or food in general.,,Bell Pepper was approved as part of Unicode 13.0 in 2020 and added to Emoji 13.0 in 2020.,
bell-with-slash,"A gold or yellow bell with a red line through it, which is commonly used on mobile phones as an icon for the silencing of notifications or ringing sounds. A mute, or silent mode.",,Bell with Slash was approved as part of Unicode 6.0 in 2010 under the name “Bell with Cancellation Stroke” and added to Emoji 1.0 in 2015.,
bell,"A gold or yellow bell, which is commonly used on mobile phones as an icon for notifications or ringing sounds.",,Bell was approved as part of Unicode 6.0 in 2010 and added to Emoji 1.0 in 2015.,
bellhop-bell,"Ding! A call bell, as pressed at a front desk or reception to alert staff for service, such as from a concierge or bellhop (porter) to carry luggage at a hotel. Generally depicted as a golden bell on a wooden stand. Commonly represents alerts or notifications to bring attention to important content. May also be used of various content concerning the hospitality and service industries. Microsoft’s design previously featured a silver bell radiating yellow rays, as if ringing.",,Bellhop Bell was approved as part of Unicode 7.0 in 2014 and added to Emoji 1.0 in 2015.,
bento-box,"A Japanese bento, a lunch box divided into portions of rice, vegetables, and meat or seafood, such as sushi or fried shrimp.",,Bento Box was approved as part of Unicode 6.0 in 2010 and added to Emoji 1.0 in 2015.,
